,Return 2019,Return 2020,Return 2021,Return 2022,Return 2023,Return 2024,Return 2025,Return 2026,Annualized Volatility,Max Drawdown (MDD),MC Expected Return (Mean),MC Expected Return (Median / 50th),MC VaR 95% (5th Percentile),MC Upside (95th Percentile)
DCBF,0.09008663698329555,0.066551598865217,0.0698124884501663,0.04263864204393908,0.08832827103205587,0.06851010361938226,0.06714660573950404,0.05291667314566695,0.032207815812464215,-0.04973755862226026,0.2753017246723175,0.27338242530822754,0.16697095334529877,0.39031514525413513
DCDE,0.1110631404402942,0.1698146640595013,0.45296770677335885,-0.3261646910878023,0.23223526829803576,0.12720446484299797,0.09064493910405469,-0.21069257280484577,0.2393798392071068,-0.3997236505180507,0.11103522777557373,0.07844936847686768,-0.277573823928833,0.6100980043411255
DCDS,0.13011211081154173,0.24373751854092274,0.5312426262792549,-0.34809225717365155,0.27321348033755166,0.24194985107730438,0.3154917031384905,-0.13231538167363466,0.22765733030116433,-0.42094047725229244,0.20327429473400116,0.17133061587810516,-0.20067638158798218,0.7162413597106934
DCIP,,,0.03790038607218271,0.028729925255647215,0.07086073157060468,0.05333736886096929,0.0553686602528114,0.04125057386059705,0.010934399122475713,-0.029134003649484458,0.05612603947520256,0.05603234842419624,0.037300992757081985,0.07526236772537231
Diamond,,0.5372107768660144,0.099286120836245,,,,,,0.40512777346297124,-0.9787547208802609,-0.6724793910980225,-0.9126887321472168,-0.9940872192382812,0.2748401165008545
